obsid,paperid,pobsid,Authors,Preferred,CorrelationCoefficient,StandardError,Tstatistic,CorrectionFactor,CorrelationCoefficientCorrected,coeffmed,StandardErrorCorrected,TstatisticCorrected,Observations,DegreesofFreedom,NumberofCountries,YNCorrected,TaxType,Statutory,EATR,EMTR,ATR,CorpTaxStructure,CrossSection,IntraNational,USAonly,CountryFixedEffects,DataOECDCountries,DataNonOECDcountries,DataMixofCountries,NoGDPpercapita,OLS,PMG,SURE,GMM,IV,OtherEstimator,TacklingEndogeneity,JournalName,YearofPublication,JournalImpactFactor,ReviewedJournal,Citations,AuthorOECDaffiliation,TotalTaxRevenues,GovernmentSpending,NoOtherTaxVariables,LongRunExplicit,ShortRunExplicit,HorizonOther
1,1,1,Akgun et al. 2017,0,-0.024,0.014,-1.714285714,0.554455446,-0.013306931,,0.007762376,-1.714285714,491,408,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
2,1,2,Akgun et al. 2017,0,-0.028,0.014,-2,0.554455446,-0.015524752,,0.007762376,-2,491,410,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
3,1,3,Akgun et al. 2017,0,-0.027,0.016,-1.6875,0.554455446,-0.014970297,,0.008871287,-1.6875,491,408,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
4,1,4,Akgun et al. 2017,0,-0.033,0.016,-2.0625,0.554455446,-0.01829703,,0.008871287,-2.0625,491,410,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,1,0,0,1,0,0
5,1,5,Akgun et al. 2017,1,-0.03,0.013,-2.307692308,0.554455446,-0.016633663,,0.007207921,-2.307692308,528,447,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,1,1,0,0
6,1,6,Akgun et al. 2017,0,-0.024,0.014,-1.714285714,0.554455446,-0.013306931,,0.007762376,-1.714285714,491,407,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
7,1,7,Akgun et al. 2017,0,-0.032,0.014,-2.285714286,0.554455446,-0.017742574,,0.007762376,-2.285714286,491,407,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
8,1,8,Akgun et al. 2017,0,-0.026,0.015,-1.733333333,0.554455446,-0.014415842,,0.008316832,-1.733333333,491,409,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
9,1,9,Akgun et al. 2017,0,-0.027,0.014,-1.928571429,0.554455446,-0.014970297,,0.007762376,-1.928571429,491,409,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
10,1,10,Akgun et al. 2017,0,-0.044,0.017,-2.588235294,0.554455446,,,,-2.5882353,491,406,34,0,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
11,1,11,Akgun et al. 2017,0,0.0015,0.014,0.107142857,0.554455446,0.000831683,,0.007762376,0.107142857,431,347,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
12,1,12,Akgun et al. 2017,0,0.0053,0.014,0.378571429,0.554455446,0.002938614,,0.007762376,0.378571429,431,346,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
13,1,13,Akgun et al. 2017,0,-0.0027,0.015,-0.18,0.554455446,-0.00149703,,0.008316832,-0.18,431,348,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
14,1,14,Akgun et al. 2017,0,-0.031,0.014,-2.214285714,0.554455446,-0.017188119,,0.007762376,-2.214285714,508,424,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
15,1,15,Akgun et al. 2017,0,-0.024,0.014,-1.714285714,0.554455446,-0.013306931,,0.007762376,-1.714285714,508,423,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
16,1,16,Akgun et al. 2017,0,-0.011,0.0085,-1.294117647,0.554455446,-0.00609901,,0.004712871,-1.294117647,472,389,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
17,1,17,Akgun et al. 2017,0,-0.012,0.0087,-1.379310345,0.554455446,-0.006653465,,0.004823762,-1.379310345,472,388,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
18,1,18,Akgun et al. 2017,0,-0.012,0.0082,-1.463414634,0.554455446,-0.006653465,,0.004546535,-1.463414634,511,427,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
19,1,19,Akgun et al. 2017,0,-0.014,0.0087,-1.609195402,0.554455446,-0.007762376,,0.004823762,-1.609195402,511,427,34,1,EMTR,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Working Paper,2017,0.0001,0,34,1,0,0,0,1,0,0
